23-Mar-22 00:06:18 - scrapy.utils.log - INFO - Scrapy 2.5.1 started (bot: scrapybot)
23-Mar-22 00:06:18 - scrapy.utils.log - INFO - Versions: lxml 4.6.3.0, libxml2 2.9.10, cssselect 1.1.0, parsel 1.6.0, w3lib 1.22.0, Twisted 20.3.0, Python 3.9.10 (main, Jan 16 2022, 17:12:18) - [GCC 11.2.0], pyOpenSSL 21.0.0 (OpenSSL 1.1.1m  14 Dec 2021), cryptography 3.4.8, Platform Linux-5.9.0-kali1-amd64-x86_64-with-glibc2.33
23-Mar-22 00:06:18 - scrapy.utils.log - DEBUG - Using reactor: twisted.internet.epollreactor.EPollReactor
23-Mar-22 00:06:18 - scrapy.crawler - INFO - Overridden settings:
{'CONCURRENT_REQUESTS': 15,
 'LOG_LEVEL': 'CRITICAL',
 'RETRY_ENABLED': False,
 'USER_AGENT': 'Sitadel 1.0.1'}
23-Mar-22 00:06:18 - scrapy.extensions.telnet - INFO - Telnet Password: a71ba48511ade9a4
23-Mar-22 00:06:18 - scrapy.middleware - INFO - Enabled extensions:
['scrapy.extensions.corestats.CoreStats',
 'scrapy.extensions.telnet.TelnetConsole',
 'scrapy.extensions.memusage.MemoryUsage',
 'scrapy.extensions.logstats.LogStats']
23-Mar-22 00:06:18 - scrapy.middleware - INFO - Enabled downloader middlewares:
['scrapy.downloadermiddlewares.httpauth.HttpAuthMiddleware',
 'scrapy.downloadermiddlewares.downloadtimeout.DownloadTimeoutMiddleware',
 'scrapy.downloadermiddlewares.defaultheaders.DefaultHeadersMiddleware',
 'scrapy.downloadermiddlewares.useragent.UserAgentMiddleware',
 'scrapy.downloadermiddlewares.redirect.MetaRefreshMiddleware',
 'scrapy.downloadermiddlewares.httpcompression.HttpCompressionMiddleware',
 'scrapy.downloadermiddlewares.redirect.RedirectMiddleware',
 'scrapy.downloadermiddlewares.cookies.CookiesMiddleware',
 'scrapy.downloadermiddlewares.httpproxy.HttpProxyMiddleware',
 'scrapy.downloadermiddlewares.stats.DownloaderStats']
23-Mar-22 00:06:18 - scrapy.middleware - INFO - Enabled spider middlewares:
['scrapy.spidermiddlewares.httperror.HttpErrorMiddleware',
 'scrapy.spidermiddlewares.offsite.OffsiteMiddleware',
 'scrapy.spidermiddlewares.referer.RefererMiddleware',
 'scrapy.spidermiddlewares.urllength.UrlLengthMiddleware',
 'scrapy.spidermiddlewares.depth.DepthMiddleware']
23-Mar-22 00:06:18 - scrapy.middleware - INFO - Enabled item pipelines:
[]
23-Mar-22 00:06:18 - scrapy.core.engine - INFO - Spider opened
23-Mar-22 00:06:18 - scrapy.extensions.logstats - INFO - Crawled 0 pages (at 0 pages/min), scraped 0 items (at 0 items/min)
23-Mar-22 00:06:18 - scrapy.extensions.telnet - INFO - Telnet console listening on 127.0.0.1:6023
23-Mar-22 00:06:23 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/log/2021/1/14/have-the-newest-year-ever> (referer: http://www.normalwebsite.com/)
23-Mar-22 00:06:23 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/company-store> (referer: http://www.normalwebsite.com/)
23-Mar-22 00:06:23 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/dialysis> (referer: http://www.normalwebsite.com/)
23-Mar-22 00:06:23 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/?author=507a2eaee4b0954f51d254c9> (referer: http://www.normalwebsite.com/)
23-Mar-22 00:06:23 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/log/2019/12/11/ai-dungeon-adventures-the-cursed-ring-38ydg-natn6-9exda-n2axt-y5kam> (referer: http://www.normalwebsite.com/log/2020/1/3/have-the-newest-year-ever)
23-Mar-22 00:06:23 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/log/2020/2/11/not-art-issue-23> (referer: http://www.normalwebsite.com/log/2020/1/3/have-the-newest-year-ever)
23-Mar-22 00:06:23 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/log/2019/01/03/heres-to-the-newest-year-yet> (referer: http://www.normalwebsite.com/log/2020/1/3/have-the-newest-year-ever)
23-Mar-22 00:06:24 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/?category=video&offset=1576008944351> (referer: http://www.normalwebsite.com/log/category/video)
23-Mar-22 00:06:24 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/log/category/Comedy+Jokes> (referer: http://www.normalwebsite.com/log/category/video)
23-Mar-22 00:06:24 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/log/2017/12/13/honey-just-for-christmas> (referer: http://www.normalwebsite.com/log/category/video)
23-Mar-22 00:06:24 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/log/2019/12/10/family-christmas-brawl> (referer: http://www.normalwebsite.com/log/category/video)
23-Mar-22 00:06:24 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/?category=Work&offset=1513204200811> (referer: http://www.normalwebsite.com/log/category/Work)
23-Mar-22 00:06:24 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/log/category/Work?author=507a2eaee4b0954f51d254c9> (referer: http://www.normalwebsite.com/log/category/Work)
23-Mar-22 00:06:24 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/?category=via+internets&offset=1581637469474> (referer: http://www.normalwebsite.com/log/category/via+internets)
23-Mar-22 00:06:24 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/?category=Pictured&offset=1581637469474> (referer: http://www.normalwebsite.com/log/category/Pictured)
23-Mar-22 00:06:25 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/log/category/Pictured?author=507a2eaee4b0954f51d254c9> (referer: http://www.normalwebsite.com/log/category/Pictured)
23-Mar-22 00:06:25 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/?category=Life&offset=1610689562516> (referer: http://www.normalwebsite.com/log/category/Life)
23-Mar-22 00:06:25 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/log/category/Life?author=507a2eaee4b0954f51d254c9> (referer: http://www.normalwebsite.com/log/category/Life)
23-Mar-22 00:06:25 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/log/category/via+internets?author=507a2eaee4b0954f51d254c9> (referer: http://www.normalwebsite.com/log/category/via+internets)
23-Mar-22 00:06:25 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/?author=507a2eaee4b0954f51d254c9&offset=1610689562516> (referer: http://www.normalwebsite.com/?author=507a2eaee4b0954f51d254c9)
23-Mar-22 00:06:26 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/log/2019/12/11/ai-dungeon-adventures-the-cursed-ring-38ydg-natn6-9exda-n2axt> (referer: http://www.normalwebsite.com/log/2019/12/11/ai-dungeon-adventures-the-cursed-ring-38ydg-natn6-9exda-n2axt-y5kam)
23-Mar-22 00:06:26 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/dialysis-in-print/the-dialysis-print-edition> (referer: http://www.normalwebsite.com/dialysis)
23-Mar-22 00:06:26 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/log/2018/12/20/frequency-earth-bonus-idiomatic> (referer: http://www.normalwebsite.com/log/2019/01/03/heres-to-the-newest-year-yet)
23-Mar-22 00:06:26 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/?category=video&offset=1519403400624> (referer: http://www.normalwebsite.com/?category=video&offset=1576008944351)
23-Mar-22 00:06:26 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/?category=video&offset=1529548313037&reversePaginate=true> (referer: http://www.normalwebsite.com/?category=video&offset=1576008944351)
23-Mar-22 00:06:26 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/log/2019/12/06/now-shipping-not-art-issue-22> (referer: http://www.normalwebsite.com/log/2019/12/10/family-christmas-brawl)
23-Mar-22 00:06:26 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/?category=Work&offset=1481752108678> (referer: http://www.normalwebsite.com/?category=Work&offset=1513204200811)
23-Mar-22 00:06:26 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/log/2018/2/23/set-list-on-the-run> (referer: http://www.normalwebsite.com/?category=video&offset=1576008944351)
23-Mar-22 00:06:27 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/?category=Work&offset=1487030630613&reversePaginate=true> (referer: http://www.normalwebsite.com/?category=Work&offset=1513204200811)
23-Mar-22 00:06:27 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/?category=Pictured&offset=1516412940700> (referer: http://www.normalwebsite.com/?category=Pictured&offset=1581637469474)
23-Mar-22 00:06:27 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/?author=507a2eaee4b0954f51d254c9&category=Work&offset=1513204200811> (referer: http://www.normalwebsite.com/log/category/Work?author=507a2eaee4b0954f51d254c9)
23-Mar-22 00:06:27 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/?author=507a2eaee4b0954f51d254c9&category=Pictured&offset=1581637469474> (referer: http://www.normalwebsite.com/log/category/Pictured?author=507a2eaee4b0954f51d254c9)
23-Mar-22 00:06:27 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/log/2018/1/16/a-show-like-this> (referer: http://www.normalwebsite.com/?category=Pictured&offset=1581637469474)
23-Mar-22 00:06:27 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/?category=Pictured&offset=1578096232160&reversePaginate=true> (referer: http://www.normalwebsite.com/?category=Pictured&offset=1581637469474)
23-Mar-22 00:06:27 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/?author=507a2eaee4b0954f51d254c9&category=via+internets&offset=1581637469474> (referer: http://www.normalwebsite.com/log/category/via+internets?author=507a2eaee4b0954f51d254c9)
23-Mar-22 00:06:27 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/?author=507a2eaee4b0954f51d254c9&offset=1581477748131> (referer: http://www.normalwebsite.com/?author=507a2eaee4b0954f51d254c9&offset=1610689562516)
23-Mar-22 00:06:27 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/?author=507a2eaee4b0954f51d254c9&category=Life&offset=1610689562516> (referer: http://www.normalwebsite.com/log/category/Life?author=507a2eaee4b0954f51d254c9)
23-Mar-22 00:06:27 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/?author=507a2eaee4b0954f51d254c9&offset=1584426017837&reversePaginate=true> (referer: http://www.normalwebsite.com/?author=507a2eaee4b0954f51d254c9&offset=1610689562516)
23-Mar-22 00:06:27 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/?category=video&offset=1517607120967&reversePaginate=true> (referer: http://www.normalwebsite.com/?category=video&offset=1519403400624)
23-Mar-22 00:06:27 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/?category=video&offset=1514421420038> (referer: http://www.normalwebsite.com/?category=video&offset=1519403400624)
23-Mar-22 00:06:27 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/dialysis-in-print> (referer: http://www.normalwebsite.com/dialysis-in-print/the-dialysis-print-edition)
23-Mar-22 00:06:27 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/log/2017/12/27/gangbusters-rings-in-new-years-double-eve> (referer: http://www.normalwebsite.com/?category=video&offset=1519403400624)
23-Mar-22 00:06:28 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/log/2019/11/7/maintenance-update> (referer: http://www.normalwebsite.com/log/2019/12/06/now-shipping-not-art-issue-22)
23-Mar-22 00:06:28 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/?category=Work&offset=1455641821343> (referer: http://www.normalwebsite.com/?category=Work&offset=1481752108678)
23-Mar-22 00:06:28 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/log/2018/2/14/219-movies> (referer: http://www.normalwebsite.com/log/2018/2/23/set-list-on-the-run)
23-Mar-22 00:06:28 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/log/2018/2/26/2430-legends-of-the-hidden-temple> (referer: http://www.normalwebsite.com/log/2018/2/23/set-list-on-the-run)
23-Mar-22 00:06:28 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/log/2018/1/10/escape-room-reviews-labyrinth> (referer: http://www.normalwebsite.com/log/2018/1/16/a-show-like-this)
23-Mar-22 00:06:28 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/?author=507a2eaee4b0954f51d254c9&category=Work&offset=1487030630613&reversePaginate=true> (referer: http://www.normalwebsite.com/?author=507a2eaee4b0954f51d254c9&category=Work&offset=1513204200811)
23-Mar-22 00:06:28 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/?author=507a2eaee4b0954f51d254c9&category=Work&offset=1481752108678> (referer: http://www.normalwebsite.com/?author=507a2eaee4b0954f51d254c9&category=Work&offset=1513204200811)
23-Mar-22 00:06:28 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/?category=Pictured&offset=1510220820500> (referer: http://www.normalwebsite.com/?category=Pictured&offset=1516412940700)
23-Mar-22 00:06:28 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/log/2018/1/22/2417-all-the-money-in-the-world> (referer: http://www.normalwebsite.com/log/2018/1/16/a-show-like-this)
23-Mar-22 00:06:28 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/?author=507a2eaee4b0954f51d254c9&offset=1576513380437> (referer: http://www.normalwebsite.com/?author=507a2eaee4b0954f51d254c9&offset=1581477748131)
23-Mar-22 00:06:29 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/?author=507a2eaee4b0954f51d254c9&offset=1578096232160&reversePaginate=true> (referer: http://www.normalwebsite.com/?author=507a2eaee4b0954f51d254c9&offset=1581477748131)
23-Mar-22 00:06:29 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/?author=507a2eaee4b0954f51d254c9&category=Life&offset=1581477748131> (referer: http://www.normalwebsite.com/?author=507a2eaee4b0954f51d254c9&category=Life&offset=1610689562516)
23-Mar-22 00:06:29 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/?author=507a2eaee4b0954f51d254c9&category=via+internets&offset=1576253160866> (referer: http://www.normalwebsite.com/?author=507a2eaee4b0954f51d254c9&category=via+internets&offset=1581637469474)
23-Mar-22 00:06:29 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/?author=507a2eaee4b0954f51d254c9&category=Life&offset=1584426017837&reversePaginate=true> (referer: http://www.normalwebsite.com/?author=507a2eaee4b0954f51d254c9&category=Life&offset=1610689562516)
23-Mar-22 00:06:29 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/?author=507a2eaee4b0954f51d254c9&category=via+internets&offset=1577116860969&reversePaginate=true> (referer: http://www.normalwebsite.com/?author=507a2eaee4b0954f51d254c9&category=via+internets&offset=1581637469474)
23-Mar-22 00:06:29 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/?author=507a2eaee4b0954f51d254c9&category=Pictured&offset=1516412940700> (referer: http://www.normalwebsite.com/?author=507a2eaee4b0954f51d254c9&category=Pictured&offset=1581637469474)
23-Mar-22 00:06:29 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/?category=video&offset=1500632400436> (referer: http://www.normalwebsite.com/?category=video&offset=1514421420038)
23-Mar-22 00:06:29 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/?category=Work&offset=1434959820000> (referer: http://www.normalwebsite.com/?category=Work&offset=1455641821343)
23-Mar-22 00:06:29 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/?category=Work&offset=1450162063907&reversePaginate=true> (referer: http://www.normalwebsite.com/?category=Work&offset=1455641821343)
23-Mar-22 00:06:29 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/log/2018/2/14/escape-room-reviews-the-pharaohs-curse> (referer: http://www.normalwebsite.com/log/2018/2/14/219-movies)
23-Mar-22 00:06:29 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/log/2014/7/21/xjjp5ucgh0hnyee1xzrbd2ndy7v2yf> (referer: http://www.normalwebsite.com/?category=Work&offset=1455641821343)
23-Mar-22 00:06:29 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/log/category/Review> (referer: http://www.normalwebsite.com/log/2018/2/14/219-movies)
23-Mar-22 00:06:30 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/log/category/Escape+Rooms> (referer: http://www.normalwebsite.com/log/2018/1/10/escape-room-reviews-labyrinth)
23-Mar-22 00:06:30 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/log/2018/1/15/2415-downsizing> (referer: http://www.normalwebsite.com/log/2018/1/10/escape-room-reviews-labyrinth)
23-Mar-22 00:06:30 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/?author=507a2eaee4b0954f51d254c9&category=Work&offset=1455641821343> (referer: http://www.normalwebsite.com/?author=507a2eaee4b0954f51d254c9&category=Work&offset=1481752108678)
23-Mar-22 00:06:30 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/?author=507a2eaee4b0954f51d254c9&offset=1576253160866&reversePaginate=true> (referer: http://www.normalwebsite.com/?author=507a2eaee4b0954f51d254c9&offset=1576513380437)
23-Mar-22 00:06:30 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/?author=507a2eaee4b0954f51d254c9&offset=1575662160824> (referer: http://www.normalwebsite.com/?author=507a2eaee4b0954f51d254c9&offset=1576513380437)
23-Mar-22 00:06:30 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/?category=Pictured&offset=1496271540861> (referer: http://www.normalwebsite.com/?category=Pictured&offset=1510220820500)
23-Mar-22 00:06:30 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/?category=Pictured&offset=1502356920779&reversePaginate=true> (referer: http://www.normalwebsite.com/?category=Pictured&offset=1510220820500)
23-Mar-22 00:06:30 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/?author=507a2eaee4b0954f51d254c9&category=Life&offset=1576513380437> (referer: http://www.normalwebsite.com/?author=507a2eaee4b0954f51d254c9&category=Life&offset=1581477748131)
23-Mar-22 00:06:30 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/log/2019/12/11/ai-dungeon-adventures-the-cursed-ring-38ydg-natn6-fd6mr> (referer: http://www.normalwebsite.com/?author=507a2eaee4b0954f51d254c9&offset=1576513380437)
23-Mar-22 00:06:30 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/log/2019/1/25/selling-out-ajzrz-g6aah-e525y-rkrbg-bhchs-fdr89-ep79y-4z8py> (referer: http://www.normalwebsite.com/?author=507a2eaee4b0954f51d254c9&category=via+internets&offset=1576253160866)
23-Mar-22 00:06:31 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/?author=507a2eaee4b0954f51d254c9&category=via+internets&offset=1556946543669> (referer: http://www.normalwebsite.com/?author=507a2eaee4b0954f51d254c9&category=via+internets&offset=1576253160866)
23-Mar-22 00:06:31 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/?category=Work&offset=1417431540000> (referer: http://www.normalwebsite.com/?category=Work&offset=1434959820000)
23-Mar-22 00:06:31 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/log/2014/8/19/supercharging-pluraleyes-with-keyboard-maestro> (referer: http://www.normalwebsite.com/?category=Work&offset=1434959820000)
23-Mar-22 00:06:31 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/?category=Work&offset=1434520380000&reversePaginate=true> (referer: http://www.normalwebsite.com/?category=Work&offset=1434959820000)
23-Mar-22 00:06:31 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/log/2018/2/12/2424-the-cloverfield-paradox> (referer: http://www.normalwebsite.com/log/2018/2/14/escape-room-reviews-the-pharaohs-curse)
23-Mar-22 00:06:31 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/?category=Review&offset=1528769100931> (referer: http://www.normalwebsite.com/log/category/Review)
23-Mar-22 00:06:31 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/log/2014/12/16/dogs-and-cats-acting-together> (referer: http://www.normalwebsite.com/?category=Work&offset=1434959820000)
23-Mar-22 00:06:31 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/?category=Escape+Rooms&offset=1513766160919> (referer: http://www.normalwebsite.com/log/category/Escape+Rooms)
23-Mar-22 00:06:31 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/?author=507a2eaee4b0954f51d254c9&category=Work&offset=1434959820000> (referer: http://www.normalwebsite.com/?author=507a2eaee4b0954f51d254c9&category=Work&offset=1455641821343)
23-Mar-22 00:06:31 - scrapy.core.engine - DEBUG - Crawled (200) <GET http://www.normalwebsite.com/?author=507a2eaee4b0954f51d254c9&category=Work&offset=1450162063907&reversePaginate=true> (referer: http://www.normalwebsite.com/?author=507a2eaee4b0954f51d254c9&category=Work&offset=1455641821343)
